,age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y
21646,56,retired,married,basic.4y,no,no,no,cellular,aug,tue,933,2,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,yes
31401,27,technician,single,university.degree,no,yes,yes,cellular,may,wed,754,1,999,0,nonexistent,-1.8,92.893,-46.2,1.334,5099.1,yes
37493,46,technician,married,basic.6y,no,yes,no,cellular,aug,thu,464,4,999,0,nonexistent,-2.9,92.201,-31.4,0.873,5076.2,yes
36599,42,admin.,married,university.degree,no,no,no,cellular,jun,thu,160,1,999,0,nonexistent,-2.9,92.963,-40.8,1.26,5076.2,yes
27926,25,admin.,married,university.degree,no,yes,no,cellular,mar,fri,294,1,999,0,nonexistent,-1.8,92.843,-50,1.531,5099.1,yes
30169,49,management,married,university.degree,no,yes,no,cellular,apr,thu,387,1,999,0,nonexistent,-1.8,93.075,-47.1,1.365,5099.1,yes
40474,66,admin.,divorced,university.degree,no,yes,no,cellular,aug,wed,222,3,6,2,success,-1.7,94.027,-38.3,0.903,4991.6,yes
37754,54,admin.,married,university.degree,no,yes,no,cellular,aug,fri,91,2,3,1,success,-2.9,92.201,-31.4,0.849,5076.2,yes
28940,29,admin.,single,university.degree,no,no,no,cellular,apr,fri,678,1,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,yes
14425,44,services,divorced,basic.9y,no,no,no,cellular,jul,tue,805,3,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,yes
40800,23,student,single,high.school,no,no,yes,cellular,sep,thu,409,2,3,2,success,-1.1,94.199,-37.5,0.878,4963.6,yes
24117,40,blue-collar,married,basic.9y,no,unknown,unknown,telephone,nov,thu,160,1,999,0,nonexistent,-0.1,93.2,-42,4.245,5195.8,yes
36653,52,blue-collar,single,basic.9y,no,no,no,cellular,jun,fri,174,2,3,1,success,-2.9,92.963,-40.8,1.268,5076.2,yes
36513,29,admin.,single,university.degree,no,no,no,cellular,jun,wed,174,1,999,0,nonexistent,-2.9,92.963,-40.8,1.26,5076.2,yes
30184,40,technician,divorced,university.degree,no,yes,no,cellular,apr,thu,335,1,999,0,nonexistent,-1.8,93.075,-47.1,1.365,5099.1,yes
19927,37,technician,divorced,professional.course,no,no,no,cellular,aug,fri,780,2,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,yes
22291,56,self-employed,married,basic.9y,no,yes,no,cellular,aug,thu,793,5,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,yes
37817,59,technician,married,professional.course,no,yes,no,cellular,aug,wed,210,4,999,0,nonexistent,-2.9,92.201,-31.4,0.834,5076.2,yes
40693,38,services,single,high.school,no,no,no,cellular,sep,fri,256,2,999,0,nonexistent,-1.1,94.199,-37.5,0.878,4963.6,yes
38397,31,services,single,professional.course,no,yes,no,telephone,oct,tue,373,1,999,0,nonexistent,-3.4,92.431,-26.9,0.737,5017.5,yes
39897,70,blue-collar,married,basic.4y,no,no,yes,cellular,jun,fri,252,1,3,1,success,-1.7,94.055,-39.8,0.732,4991.6,yes
5639,29,student,single,high.school,no,no,yes,telephone,may,mon,630,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,yes
7360,34,housemaid,divorced,high.school,no,no,no,telephone,may,fri,553,3,999,0,nonexistent,1.1,93.994,-36.4,4.864,5191,yes
27155,50,technician,married,basic.9y,no,no,no,cellular,nov,fri,705,1,999,0,nonexistent,-0.1,93.2,-42,4.021,5195.8,yes
36743,27,admin.,single,university.degree,no,no,no,cellular,jun,mon,138,3,999,0,nonexistent,-2.9,92.963,-40.8,1.281,5076.2,yes
14790,45,unknown,unknown,unknown,no,yes,no,cellular,jul,wed,586,1,999,0,nonexistent,1.4,93.918,-42.7,4.957,5228.1,yes
28727,36,blue-collar,married,unknown,no,no,no,cellular,apr,thu,1174,1,999,0,nonexistent,-1.8,93.075,-47.1,1.41,5099.1,yes
40361,48,admin.,married,university.degree,no,yes,yes,cellular,aug,wed,288,1,0,3,success,-1.7,94.027,-38.3,0.9,4991.6,yes
39783,29,admin.,married,university.degree,no,yes,no,cellular,jun,tue,201,1,999,0,nonexistent,-1.7,94.055,-39.8,0.702,4991.6,yes
40104,24,admin.,single,high.school,no,no,no,cellular,jul,mon,452,1,14,1,success,-1.7,94.215,-40.3,0.827,4991.6,yes
37569,71,retired,married,basic.4y,no,yes,no,cellular,aug,fri,125,1,999,0,nonexistent,-2.9,92.201,-31.4,0.869,5076.2,yes
40378,34,admin.,married,university.degree,no,yes,no,cellular,aug,wed,250,1,10,2,failure,-1.7,94.027,-38.3,0.9,4991.6,yes
8914,39,entrepreneur,single,basic.6y,no,no,no,telephone,jun,thu,1053,2,999,0,nonexistent,1.4,94.465,-41.8,4.866,5228.1,yes
8569,34,admin.,married,high.school,no,no,no,telephone,jun,wed,638,1,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,yes
1810,43,admin.,married,university.degree,unknown,yes,no,telephone,may,fri,2016,2,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191,yes
9637,34,admin.,married,high.school,no,yes,no,telephone,jun,mon,491,6,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,yes
37278,38,admin.,single,high.school,no,yes,yes,cellular,aug,mon,167,1,999,0,nonexistent,-2.9,92.201,-31.4,0.884,5076.2,yes
37208,76,retired,married,basic.4y,no,yes,no,cellular,aug,fri,345,2,999,0,nonexistent,-2.9,92.201,-31.4,0.881,5076.2,yes
36433,28,technician,single,professional.course,no,yes,no,cellular,jun,tue,318,1,999,0,nonexistent,-2.9,92.963,-40.8,1.262,5076.2,yes
39754,38,admin.,single,basic.9y,no,no,no,cellular,may,thu,275,2,999,0,nonexistent,-1.8,93.876,-40,0.699,5008.7,yes
24551,45,management,married,university.degree,no,yes,yes,cellular,nov,mon,789,1,999,0,nonexistent,-0.1,93.2,-42,4.191,5195.8,yes
17220,52,blue-collar,married,basic.4y,unknown,yes,no,cellular,jul,fri,2015,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,yes
38548,33,admin.,single,university.degree,no,no,no,cellular,oct,thu,410,1,999,1,failure,-3.4,92.431,-26.9,0.722,5017.5,yes
10980,28,management,married,university.degree,no,yes,no,telephone,jun,wed,695,1,999,0,nonexistent,1.4,94.465,-41.8,4.962,5228.1,yes
41173,31,admin.,single,university.degree,no,yes,no,cellular,nov,thu,353,1,999,0,nonexistent,-1.1,94.767,-50.8,1.031,4963.6,yes
32640,23,blue-collar,single,basic.9y,no,yes,no,cellular,may,mon,657,1,999,0,nonexistent,-1.8,92.893,-46.2,1.299,5099.1,yes
40135,53,blue-collar,single,basic.9y,no,no,no,telephone,jul,wed,413,1,6,2,success,-1.7,94.215,-40.3,0.84,4991.6,yes
33222,38,entrepreneur,married,unknown,unknown,no,no,cellular,may,tue,1272,1,999,0,nonexistent,-1.8,92.893,-46.2,1.291,5099.1,yes
17268,59,retired,married,basic.9y,unknown,no,no,cellular,jul,fri,1330,3,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,yes
21148,48,blue-collar,married,unknown,no,no,no,cellular,aug,mon,528,3,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,yes
36627,28,management,single,university.degree,no,yes,no,cellular,jun,thu,1161,1,4,1,success,-2.9,92.963,-40.8,1.26,5076.2,yes
35744,33,entrepreneur,single,university.degree,no,no,no,cellular,may,mon,637,4,999,1,failure,-1.8,92.893,-46.2,1.244,5099.1,yes
27922,56,blue-collar,married,basic.4y,no,yes,no,cellular,mar,fri,283,1,999,0,nonexistent,-1.8,92.843,-50,1.531,5099.1,yes
39821,35,technician,single,professional.course,no,yes,no,cellular,jun,tue,187,1,6,2,success,-1.7,94.055,-39.8,0.713,4991.6,yes
38710,34,technician,married,professional.course,no,yes,no,cellular,nov,tue,336,4,999,0,nonexistent,-3.4,92.649,-30.1,0.715,5017.5,yes
39869,56,management,married,basic.6y,no,yes,no,cellular,jun,tue,910,1,7,2,success,-1.7,94.055,-39.8,0.723,4991.6,yes
24045,31,admin.,single,university.degree,no,yes,no,telephone,oct,tue,125,1,999,0,nonexistent,-0.1,93.798,-40.4,4.86,5195.8,yes
38430,33,services,married,high.school,no,yes,no,cellular,oct,thu,313,3,999,0,nonexistent,-3.4,92.431,-26.9,0.733,5017.5,yes
30502,30,unemployed,married,high.school,no,yes,no,cellular,may,mon,214,3,3,1,success,-1.8,92.893,-46.2,1.354,5099.1,yes
28271,55,admin.,divorced,university.degree,no,yes,no,cellular,apr,wed,952,1,999,0,nonexistent,-1.8,93.075,-47.1,1.445,5099.1,yes
39506,26,student,single,high.school,no,yes,yes,cellular,apr,fri,888,1,6,2,success,-1.8,93.749,-34.6,0.645,5008.7,yes
30451,60,blue-collar,married,basic.9y,no,yes,no,cellular,may,mon,193,1,999,1,failure,-1.8,92.893,-46.2,1.354,5099.1,yes
24001,56,unknown,married,unknown,no,no,no,telephone,oct,fri,235,1,999,0,nonexistent,-0.1,93.798,-40.4,5.045,5195.8,yes
40396,48,admin.,divorced,university.degree,no,no,no,cellular,aug,thu,172,3,3,6,success,-1.7,94.027,-38.3,0.904,4991.6,yes
22937,36,technician,married,high.school,no,yes,no,cellular,aug,mon,630,6,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,yes
38209,34,self-employed,married,university.degree,no,no,no,cellular,oct,wed,201,1,5,3,failure,-3.4,92.431,-26.9,0.74,5017.5,yes
27788,38,technician,married,university.degree,no,yes,no,cellular,mar,tue,122,1,999,0,nonexistent,-1.8,92.843,-50,1.687,5099.1,yes
35161,39,management,married,university.degree,no,yes,no,cellular,may,fri,837,1,999,0,nonexistent,-1.8,92.893,-46.2,1.25,5099.1,yes
35945,25,admin.,married,university.degree,no,unknown,unknown,cellular,may,mon,612,7,999,0,nonexistent,-1.8,92.893,-46.2,1.264,5099.1,yes
40337,67,retired,married,basic.4y,no,no,no,cellular,aug,mon,341,2,13,1,success,-1.7,94.027,-38.3,0.898,4991.6,yes
40015,60,management,married,university.degree,no,yes,yes,cellular,jul,thu,395,1,4,2,success,-1.7,94.215,-40.3,0.782,4991.6,yes
34919,29,blue-collar,divorced,high.school,no,no,no,cellular,may,fri,760,1,999,0,nonexistent,-1.8,92.893,-46.2,1.25,5099.1,yes
16057,35,blue-collar,married,unknown,unknown,no,no,cellular,jul,tue,560,1,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,yes
39651,77,retired,married,university.degree,no,yes,no,telephone,may,wed,372,1,3,4,success,-1.8,93.876,-40,0.682,5008.7,yes
19040,39,technician,divorced,professional.course,no,yes,no,cellular,aug,tue,1134,1,999,0,nonexistent,1.4,93.444,-36.1,4.968,5228.1,yes
20784,39,management,married,university.degree,no,yes,no,telephone,aug,wed,306,1,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,yes
5108,38,technician,married,basic.6y,unknown,no,no,telephone,may,fri,785,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,yes
29219,22,admin.,single,university.degree,no,no,no,cellular,apr,fri,149,1,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,yes
34365,32,self-employed,single,professional.course,unknown,no,no,cellular,may,thu,561,3,999,0,nonexistent,-1.8,92.893,-46.2,1.266,5099.1,yes
36342,31,admin.,single,university.degree,no,yes,no,cellular,jun,tue,282,2,13,1,success,-2.9,92.963,-40.8,1.262,5076.2,yes
21913,30,admin.,married,university.degree,no,no,no,telephone,aug,wed,588,3,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,yes
9842,30,self-employed,single,university.degree,no,no,no,telephone,jun,wed,587,1,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,yes
39650,48,unemployed,married,professional.course,no,no,no,telephone,may,wed,360,1,6,1,success,-1.8,93.876,-40,0.682,5008.7,yes
37333,26,student,single,professional.course,no,yes,no,cellular,aug,tue,176,2,999,1,failure,-2.9,92.201,-31.4,0.883,5076.2,yes
30602,39,admin.,married,high.school,no,no,no,cellular,may,mon,1063,5,999,0,nonexistent,-1.8,92.893,-46.2,1.354,5099.1,yes
40110,62,technician,married,unknown,no,yes,no,cellular,jul,mon,248,1,999,2,failure,-1.7,94.215,-40.3,0.827,4991.6,yes
20864,31,technician,married,professional.course,no,yes,no,cellular,aug,thu,707,1,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,yes
20912,36,self-employed,married,basic.9y,unknown,yes,yes,cellular,aug,thu,593,2,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,yes
40357,75,retired,married,unknown,no,no,no,telephone,aug,tue,676,2,999,4,failure,-1.7,94.027,-38.3,0.899,4991.6,yes
36429,44,admin.,single,university.degree,no,no,no,cellular,jun,tue,924,2,4,1,success,-2.9,92.963,-40.8,1.262,5076.2,yes
30090,38,admin.,married,university.degree,no,unknown,unknown,cellular,apr,mon,124,1,999,0,nonexistent,-1.8,93.075,-47.1,1.392,5099.1,yes
28625,41,services,single,high.school,no,yes,yes,cellular,apr,wed,264,2,999,0,nonexistent,-1.8,93.075,-47.1,1.415,5099.1,yes
40094,59,retired,divorced,basic.4y,no,no,yes,cellular,jul,mon,210,3,999,2,failure,-1.7,94.215,-40.3,0.827,4991.6,yes
32669,34,technician,married,professional.course,no,yes,no,cellular,may,mon,934,1,999,1,failure,-1.8,92.893,-46.2,1.299,5099.1,yes
34722,25,student,single,high.school,no,yes,no,cellular,may,thu,959,3,999,1,failure,-1.8,92.893,-46.2,1.266,5099.1,yes
30176,53,management,divorced,university.degree,no,yes,no,cellular,apr,thu,297,1,2,1,success,-1.8,93.075,-47.1,1.365,5099.1,yes
40991,31,admin.,single,university.degree,no,unknown,unknown,cellular,oct,tue,192,1,3,1,success,-1.1,94.601,-49.5,1.008,4963.6,yes
30198,34,admin.,married,university.degree,no,yes,yes,cellular,apr,thu,177,2,999,0,nonexistent,-1.8,93.075,-47.1,1.365,5099.1,yes
10163,44,admin.,single,university.degree,no,yes,no,telephone,jun,thu,541,17,999,0,nonexistent,1.4,94.465,-41.8,4.958,5228.1,yes
36446,30,admin.,married,university.degree,no,no,no,cellular,jun,tue,250,2,999,0,nonexistent,-2.9,92.963,-40.8,1.262,5076.2,yes
37784,66,retired,married,basic.4y,unknown,yes,no,cellular,aug,tue,142,2,999,0,nonexistent,-2.9,92.201,-31.4,0.838,5076.2,yes
38058,31,admin.,single,high.school,no,yes,no,cellular,sep,fri,210,1,999,0,nonexistent,-3.4,92.379,-29.8,0.773,5017.5,yes
6649,54,technician,married,professional.course,no,no,no,telephone,may,wed,796,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,yes
38439,56,technician,married,basic.4y,no,no,no,cellular,oct,thu,306,3,3,1,success,-3.4,92.431,-26.9,0.733,5017.5,yes
38118,63,housemaid,married,basic.4y,no,yes,no,cellular,sep,wed,299,1,3,1,success,-3.4,92.379,-29.8,0.749,5017.5,yes
34499,33,admin.,single,high.school,no,no,no,cellular,may,thu,492,1,12,2,failure,-1.8,92.893,-46.2,1.266,5099.1,yes
37434,56,admin.,married,basic.9y,no,no,no,cellular,aug,wed,338,2,4,1,success,-2.9,92.201,-31.4,0.879,5076.2,yes
33439,32,technician,single,high.school,no,yes,no,cellular,may,tue,1531,1,999,0,nonexistent,-1.8,92.893,-46.2,1.291,5099.1,yes
39971,36,management,married,university.degree,no,no,no,cellular,jun,tue,265,1,999,1,failure,-1.7,94.055,-39.8,0.761,4991.6,yes
38913,56,retired,married,university.degree,no,yes,no,cellular,nov,wed,968,2,3,3,success,-3.4,92.649,-30.1,0.716,5017.5,yes
27367,34,admin.,divorced,university.degree,no,no,no,cellular,nov,fri,549,2,999,0,nonexistent,-0.1,93.2,-42,4.021,5195.8,yes
39807,34,admin.,married,high.school,no,yes,no,cellular,jun,wed,238,1,6,2,success,-1.7,94.055,-39.8,0.704,4991.6,yes
36828,29,admin.,married,high.school,no,no,no,cellular,jun,mon,155,1,999,1,failure,-2.9,92.963,-40.8,1.26,5076.2,yes
39009,30,student,single,unknown,no,no,no,cellular,dec,wed,343,1,4,2,success,-3,92.713,-33,0.715,5023.5,yes
37104,54,admin.,married,university.degree,no,no,yes,cellular,jul,tue,822,6,13,1,success,-2.9,92.469,-33.6,0.908,5076.2,yes
39606,52,admin.,married,university.degree,no,yes,yes,cellular,may,thu,250,1,3,5,success,-1.8,93.876,-40,0.677,5008.7,yes
16622,23,admin.,single,professional.course,no,yes,no,cellular,jul,wed,902,2,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,yes
27933,31,technician,single,university.degree,no,yes,no,telephone,mar,fri,228,2,999,0,nonexistent,-1.8,92.843,-50,1.531,5099.1,yes
30237,39,services,married,university.degree,no,no,no,cellular,apr,thu,237,1,999,0,nonexistent,-1.8,93.075,-47.1,1.365,5099.1,yes
39005,42,services,married,university.degree,no,no,no,cellular,dec,wed,179,1,6,1,success,-3,92.713,-33,0.715,5023.5,yes
38006,75,retired,married,unknown,no,no,no,cellular,sep,tue,191,1,999,1,failure,-3.4,92.379,-29.8,0.788,5017.5,yes
36257,31,services,married,basic.9y,no,no,no,cellular,jun,mon,84,1,999,0,nonexistent,-2.9,92.963,-40.8,1.266,5076.2,yes
37996,43,technician,married,professional.course,no,no,no,cellular,sep,tue,293,1,999,0,nonexistent,-3.4,92.379,-29.8,0.788,5017.5,yes
13943,33,admin.,single,university.degree,no,yes,no,cellular,jul,fri,614,2,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,yes
40037,41,admin.,divorced,university.degree,no,no,no,cellular,jul,mon,128,2,999,0,nonexistent,-1.7,94.215,-40.3,0.793,4991.6,yes
28575,32,unemployed,single,university.degree,no,no,no,cellular,apr,wed,110,1,999,0,nonexistent,-1.8,93.075,-47.1,1.415,5099.1,yes
13017,27,admin.,single,professional.course,no,yes,no,cellular,jul,tue,1061,4,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,yes
24069,32,technician,married,professional.course,no,yes,no,telephone,nov,tue,399,1,999,0,nonexistent,-0.1,93.2,-42,4.7,5195.8,yes
31807,27,blue-collar,single,basic.9y,unknown,yes,yes,cellular,may,thu,623,1,999,0,nonexistent,-1.8,92.893,-46.2,1.327,5099.1,yes
35439,36,admin.,married,high.school,unknown,no,no,cellular,may,mon,899,3,999,0,nonexistent,-1.8,92.893,-46.2,1.244,5099.1,yes
37280,36,admin.,divorced,university.degree,no,no,no,cellular,aug,mon,559,1,5,1,success,-2.9,92.201,-31.4,0.884,5076.2,yes
30473,50,blue-collar,married,basic.6y,no,yes,no,cellular,may,mon,293,3,3,1,success,-1.8,92.893,-46.2,1.354,5099.1,yes
38647,30,unemployed,single,basic.9y,no,yes,no,cellular,nov,tue,537,1,999,0,nonexistent,-3.4,92.649,-30.1,0.72,5017.5,yes
12810,25,technician,single,university.degree,no,no,no,cellular,jul,tue,460,3,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,yes
38422,29,blue-collar,single,basic.9y,no,no,yes,cellular,oct,wed,107,2,999,0,nonexistent,-3.4,92.431,-26.9,0.735,5017.5,yes
22999,55,management,married,university.degree,no,no,no,cellular,aug,mon,372,3,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,yes
27152,40,management,married,university.degree,no,yes,yes,cellular,nov,fri,957,1,999,1,failure,-0.1,93.2,-42,4.021,5195.8,yes
6281,30,self-employed,married,basic.9y,no,no,no,telephone,may,tue,3094,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,yes
11753,42,entrepreneur,married,professional.course,no,yes,no,telephone,jun,fri,291,5,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,yes
36603,30,admin.,single,university.degree,no,no,no,cellular,jun,thu,323,1,999,0,nonexistent,-2.9,92.963,-40.8,1.26,5076.2,yes
27470,39,admin.,single,unknown,no,no,no,cellular,nov,fri,504,2,999,1,failure,-0.1,93.2,-42,4.021,5195.8,yes
28531,70,retired,married,basic.4y,no,yes,no,cellular,apr,wed,223,2,999,0,nonexistent,-1.8,93.075,-47.1,1.415,5099.1,yes
14555,33,housemaid,married,basic.9y,no,no,no,cellular,jul,tue,860,4,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,yes
17935,28,technician,single,university.degree,unknown,no,no,cellular,jul,tue,808,3,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,yes
27854,33,admin.,single,university.degree,no,yes,yes,cellular,mar,tue,187,1,999,0,nonexistent,-1.8,92.843,-50,1.614,5099.1,yes
39541,33,admin.,married,university.degree,no,yes,no,cellular,apr,wed,623,1,6,1,success,-1.8,93.749,-34.6,0.654,5008.7,yes
27755,38,technician,married,professional.course,no,no,yes,cellular,mar,thu,196,2,999,0,nonexistent,-1.8,92.843,-50,1.757,5099.1,yes
40388,41,admin.,divorced,high.school,no,yes,yes,cellular,aug,thu,231,2,0,2,success,-1.7,94.027,-38.3,0.904,4991.6,yes
39151,35,services,single,high.school,no,yes,no,telephone,mar,tue,187,3,999,0,nonexistent,-1.8,93.369,-34.8,0.655,5008.7,yes
37721,24,admin.,single,university.degree,no,yes,no,cellular,aug,thu,158,1,999,0,nonexistent,-2.9,92.201,-31.4,0.851,5076.2,yes
38147,56,management,divorced,university.degree,no,no,no,cellular,sep,tue,277,1,999,1,failure,-3.4,92.379,-29.8,0.75,5017.5,yes
10457,47,blue-collar,married,basic.4y,no,yes,no,telephone,jun,mon,2769,4,999,0,nonexistent,1.4,94.465,-41.8,4.96,5228.1,yes
8600,38,blue-collar,single,high.school,unknown,yes,no,telephone,jun,wed,936,1,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,yes
40620,43,entrepreneur,married,university.degree,no,no,no,cellular,sep,mon,255,1,3,1,success,-1.1,94.199,-37.5,0.882,4963.6,yes
38363,60,retired,married,basic.4y,no,no,no,cellular,oct,mon,98,1,999,0,nonexistent,-3.4,92.431,-26.9,0.739,5017.5,yes
35018,30,entrepreneur,married,high.school,no,yes,yes,cellular,may,fri,485,1,999,0,nonexistent,-1.8,92.893,-46.2,1.25,5099.1,yes
15216,31,blue-collar,divorced,basic.9y,no,no,no,cellular,jul,thu,551,3,999,0,nonexistent,1.4,93.918,-42.7,4.958,5228.1,yes
30423,42,services,married,high.school,no,yes,no,cellular,apr,thu,501,1,999,0,nonexistent,-1.8,93.075,-47.1,1.365,5099.1,yes
10062,54,blue-collar,married,basic.6y,unknown,no,no,telephone,jun,thu,2025,1,999,0,nonexistent,1.4,94.465,-41.8,4.958,5228.1,yes
32350,33,blue-collar,married,basic.9y,no,no,no,cellular,may,fri,728,1,999,0,nonexistent,-1.8,92.893,-46.2,1.313,5099.1,yes
14075,46,housemaid,married,basic.4y,unknown,no,no,cellular,jul,fri,1649,2,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,yes
20540,41,technician,married,professional.course,no,yes,no,cellular,aug,tue,1344,1,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,yes
39218,42,blue-collar,married,basic.6y,no,yes,yes,cellular,mar,tue,185,1,7,3,failure,-1.8,93.369,-34.8,0.652,5008.7,yes
38902,83,retired,divorced,basic.4y,no,no,no,cellular,nov,tue,242,1,3,3,success,-3.4,92.649,-30.1,0.716,5017.5,yes
37830,51,admin.,married,university.degree,no,yes,no,cellular,aug,thu,212,1,999,0,nonexistent,-2.9,92.201,-31.4,0.829,5076.2,yes
27918,28,admin.,single,high.school,no,yes,no,telephone,mar,fri,515,1,999,0,nonexistent,-1.8,92.843,-50,1.531,5099.1,yes
34384,29,services,single,high.school,no,no,no,cellular,may,thu,854,2,999,1,failure,-1.8,92.893,-46.2,1.266,5099.1,yes
35175,37,services,married,basic.6y,unknown,yes,no,cellular,may,fri,679,1,999,1,failure,-1.8,92.893,-46.2,1.25,5099.1,yes
36736,32,management,single,university.degree,no,no,no,cellular,jun,mon,257,2,3,1,success,-2.9,92.963,-40.8,1.281,5076.2,yes
41020,31,student,single,high.school,no,yes,no,cellular,oct,fri,716,3,999,0,nonexistent,-1.1,94.601,-49.5,1.029,4963.6,yes
40306,27,services,single,high.school,no,no,no,cellular,jul,fri,700,5,6,2,success,-1.7,94.215,-40.3,0.896,4991.6,yes
23016,49,admin.,married,university.degree,no,no,no,cellular,aug,tue,958,5,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,yes
25961,56,blue-collar,divorced,basic.9y,no,yes,no,cellular,nov,wed,1265,3,999,0,nonexistent,-0.1,93.2,-42,4.12,5195.8,yes
36677,31,self-employed,married,university.degree,no,yes,no,cellular,jun,fri,207,1,999,0,nonexistent,-2.9,92.963,-40.8,1.268,5076.2,yes
29978,78,retired,married,basic.4y,no,yes,no,cellular,apr,tue,274,1,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,yes
19373,37,admin.,married,university.degree,no,no,no,cellular,aug,wed,996,1,999,0,nonexistent,1.4,93.444,-36.1,4.967,5228.1,yes
17285,59,retired,married,high.school,no,yes,no,cellular,jul,fri,1448,17,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,yes
20968,34,admin.,single,university.degree,no,yes,no,cellular,aug,thu,518,1,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,yes
36411,33,admin.,single,university.degree,no,yes,no,cellular,jun,tue,251,1,999,0,nonexistent,-2.9,92.963,-40.8,1.262,5076.2,yes
37417,48,entrepreneur,divorced,high.school,no,no,no,cellular,aug,wed,307,1,999,0,nonexistent,-2.9,92.201,-31.4,0.879,5076.2,yes
