,age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y,duration1,log_duration,pdays1,log_pdays
38406,44,admin.,married,university.degree,no,yes,no,cellular,oct,wed,192,3,6,1,success,-3.4,92.431,-26.9,0.735,5017.5,yes,192,5.25749537202778,6,1.79175946922805
38600,37,admin.,single,university.degree,no,no,no,cellular,oct,fri,416,2,999,0,nonexistent,-3.4,92.431,-26.9,0.72,5017.5,yes,416,6.03068526026126,999,6.90675477864855
38710,34,technician,married,professional.course,no,yes,no,cellular,nov,tue,336,4,999,0,nonexistent,-3.4,92.649,-30.1,0.715,5017.5,yes,336,5.8171111599632,999,6.90675477864855
30344,38,admin.,single,university.degree,no,yes,yes,cellular,apr,thu,555,2,999,0,nonexistent,-1.8,93.075,-47.1,1.365,5099.1,yes,555,6.31896811374643,999,6.90675477864855
26674,34,management,divorced,university.degree,no,no,no,cellular,nov,thu,370,2,999,0,nonexistent,-0.1,93.2,-42,4.076,5195.8,yes,370,5.91350300563827,999,6.90675477864855
40235,60,admin.,married,basic.9y,no,no,no,cellular,jul,thu,174,2,25,2,failure,-1.7,94.215,-40.3,0.884,4991.6,yes,174,5.15905529921453,25,3.2188758248682
27726,34,management,married,university.degree,no,no,no,cellular,mar,tue,499,1,999,0,nonexistent,-1.8,92.843,-50,1.799,5099.1,yes,499,6.21260609575152,999,6.90675477864855
33761,34,blue-collar,married,high.school,no,no,no,cellular,may,wed,590,1,999,0,nonexistent,-1.8,92.893,-46.2,1.281,5099.1,yes,590,6.38012253689976,999,6.90675477864855
28806,50,blue-collar,married,basic.9y,no,yes,no,cellular,apr,thu,1365,2,999,1,failure,-1.8,93.075,-47.1,1.41,5099.1,yes,1365,7.21890970761906,999,6.90675477864855
39956,51,admin.,married,university.degree,no,yes,no,cellular,jun,mon,281,3,10,3,success,-1.7,94.055,-39.8,0.754,4991.6,yes,281,5.63835466933375,10,2.30258509299405
38484,55,unemployed,married,basic.9y,no,no,no,cellular,oct,tue,131,1,999,0,nonexistent,-3.4,92.431,-26.9,0.728,5017.5,yes,131,4.87519732320115,999,6.90675477864855
40890,61,retired,married,basic.4y,no,no,no,telephone,oct,fri,194,1,999,0,nonexistent,-1.1,94.601,-49.5,0.972,4963.6,yes,194,5.26785815906333,999,6.90675477864855
7572,29,technician,married,professional.course,no,no,no,telephone,may,fri,886,3,999,0,nonexistent,1.1,93.994,-36.4,4.864,5191,yes,886,6.78671695060508,999,6.90675477864855
39719,24,unemployed,single,high.school,no,no,yes,cellular,may,mon,375,2,999,0,nonexistent,-1.8,93.876,-40,0.697,5008.7,yes,375,5.92692602597041,999,6.90675477864855
27902,26,student,single,high.school,no,no,no,cellular,mar,thu,200,1,999,0,nonexistent,-1.8,92.843,-50,1.538,5099.1,yes,200,5.29831736654804,999,6.90675477864855
34731,54,blue-collar,married,basic.9y,no,no,no,cellular,may,thu,532,2,6,2,success,-1.8,92.893,-46.2,1.266,5099.1,yes,532,6.27664348934164,6,1.79175946922805
30139,60,retired,divorced,professional.course,no,yes,no,cellular,apr,thu,968,1,5,2,failure,-1.8,93.075,-47.1,1.365,5099.1,yes,968,6.87523208727658,5,1.6094379124341
34316,36,blue-collar,married,basic.4y,no,yes,yes,cellular,may,thu,558,1,999,0,nonexistent,-1.8,92.893,-46.2,1.266,5099.1,yes,558,6.32435896238131,999,6.90675477864855
25240,39,technician,married,university.degree,no,no,yes,cellular,nov,tue,1437,2,999,0,nonexistent,-0.1,93.2,-42,4.153,5195.8,yes,1437,7.27031288607902,999,6.90675477864855
9742,32,services,married,high.school,unknown,no,no,telephone,jun,mon,1137,3,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,yes,1137,7.03614849375054,999,6.90675477864855
27924,41,technician,married,professional.course,no,no,no,cellular,mar,fri,229,2,999,0,nonexistent,-1.8,92.843,-50,1.531,5099.1,yes,229,5.43372200355424,999,6.90675477864855
40133,29,admin.,single,high.school,no,yes,no,cellular,jul,tue,272,3,6,1,success,-1.7,94.215,-40.3,0.835,4991.6,yes,272,5.605802066296,6,1.79175946922805
38034,76,retired,married,basic.4y,no,yes,no,cellular,sep,wed,259,2,3,1,success,-3.4,92.379,-29.8,0.781,5017.5,yes,259,5.55682806169954,3,1.09861228866811
34431,31,entrepreneur,single,university.degree,no,yes,no,cellular,may,thu,633,1,999,0,nonexistent,-1.8,92.893,-46.2,1.266,5099.1,yes,633,6.45047042214418,999,6.90675477864855
35913,44,services,married,high.school,no,yes,yes,cellular,may,mon,283,1,999,1,failure,-1.8,92.893,-46.2,1.264,5099.1,yes,283,5.64544689764324,999,6.90675477864855
41062,31,management,married,university.degree,no,yes,no,cellular,nov,mon,188,1,999,0,nonexistent,-1.1,94.767,-50.8,1.05,4963.6,yes,188,5.23644196282995,999,6.90675477864855
6144,31,blue-collar,married,basic.9y,no,no,no,telephone,may,tue,935,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,yes,935,6.84054652928869,999,6.90675477864855
17452,40,blue-collar,married,professional.course,no,yes,yes,cellular,jul,mon,431,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,yes,431,6.06610809010375,999,6.90675477864855
21880,57,housemaid,married,basic.4y,no,no,no,cellular,aug,wed,1044,1,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,yes,1044,6.95081476844258,999,6.90675477864855
40042,21,student,single,basic.9y,no,yes,no,cellular,jul,tue,209,2,999,0,nonexistent,-1.7,94.215,-40.3,0.797,4991.6,yes,209,5.34233425196481,999,6.90675477864855
38054,28,admin.,single,university.degree,no,yes,no,cellular,sep,fri,91,1,1,3,success,-3.4,92.379,-29.8,0.773,5017.5,yes,91,4.51085950651685,1,0
37855,26,student,single,university.degree,no,no,yes,cellular,aug,fri,173,1,999,0,nonexistent,-2.9,92.201,-31.4,0.825,5076.2,yes,173,5.15329159449778,999,6.90675477864855
28355,30,unemployed,single,basic.9y,no,no,no,cellular,apr,wed,142,4,999,0,nonexistent,-1.8,93.075,-47.1,1.445,5099.1,yes,142,4.95582705760126,999,6.90675477864855
18387,33,services,married,professional.course,no,yes,yes,cellular,jul,thu,630,4,999,0,nonexistent,1.4,93.918,-42.7,4.968,5228.1,yes,630,6.44571981938558,999,6.90675477864855
12877,34,technician,single,university.degree,no,no,yes,cellular,jul,tue,1082,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,yes,1082,6.98656645940643,999,6.90675477864855
15783,39,admin.,married,university.degree,no,no,no,telephone,jul,mon,733,3,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,yes,733,6.59714570188665,999,6.90675477864855
30839,51,blue-collar,married,basic.6y,no,unknown,unknown,cellular,may,tue,811,2,999,0,nonexistent,-1.8,92.893,-46.2,1.344,5099.1,yes,811,6.69826805411541,999,6.90675477864855
31985,46,blue-collar,married,basic.9y,no,no,no,cellular,may,thu,792,3,999,0,nonexistent,-1.8,92.893,-46.2,1.327,5099.1,yes,792,6.67456139181443,999,6.90675477864855
27708,26,admin.,married,university.degree,no,yes,no,cellular,mar,mon,175,5,999,0,nonexistent,-1.8,92.843,-50,1.811,5099.1,yes,175,5.16478597392351,999,6.90675477864855
28316,24,services,single,high.school,no,yes,no,cellular,apr,wed,209,1,999,0,nonexistent,-1.8,93.075,-47.1,1.445,5099.1,yes,209,5.34233425196481,999,6.90675477864855
36516,29,admin.,divorced,university.degree,no,yes,no,cellular,jun,wed,238,3,999,0,nonexistent,-2.9,92.963,-40.8,1.26,5076.2,yes,238,5.47227067367148,999,6.90675477864855
28744,33,technician,married,professional.course,no,no,no,cellular,apr,thu,285,1,999,0,nonexistent,-1.8,93.075,-47.1,1.41,5099.1,yes,285,5.65248918026865,999,6.90675477864855
27104,35,admin.,single,university.degree,no,yes,yes,cellular,nov,fri,529,1,999,0,nonexistent,-0.1,93.2,-42,4.021,5195.8,yes,529,6.2709884318583,999,6.90675477864855
36776,22,self-employed,single,university.degree,no,yes,yes,cellular,jun,fri,126,6,999,0,nonexistent,-2.9,92.963,-40.8,1.268,5076.2,yes,126,4.83628190695148,999,6.90675477864855
17360,43,blue-collar,married,basic.9y,no,no,no,cellular,jul,mon,458,6,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,yes,458,6.12686918411419,999,6.90675477864855
8543,35,admin.,single,high.school,no,no,no,telephone,jun,wed,984,2,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,yes,984,6.89162589705225,999,6.90675477864855
26635,29,admin.,single,university.degree,no,yes,yes,cellular,nov,thu,736,1,999,0,nonexistent,-0.1,93.2,-42,4.076,5195.8,yes,736,6.60123011872888,999,6.90675477864855
39489,80,retired,divorced,basic.4y,no,yes,no,telephone,apr,wed,623,2,999,0,nonexistent,-1.8,93.749,-34.6,0.642,5008.7,yes,623,6.43454651878745,999,6.90675477864855
32259,36,services,single,basic.9y,no,yes,no,cellular,may,fri,501,2,999,0,nonexistent,-1.8,92.893,-46.2,1.313,5099.1,yes,501,6.21660610108486,999,6.90675477864855
25529,35,admin.,married,university.degree,no,yes,no,cellular,nov,wed,820,1,999,0,nonexistent,-0.1,93.2,-42,4.12,5195.8,yes,820,6.7093043402583,999,6.90675477864855
27084,29,technician,single,professional.course,no,no,no,cellular,nov,fri,530,1,999,1,failure,-0.1,93.2,-42,4.021,5195.8,yes,530,6.27287700654617,999,6.90675477864855
12804,33,blue-collar,single,basic.9y,no,yes,no,cellular,jul,tue,531,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,yes,531,6.27476202124194,999,6.90675477864855
33776,34,housemaid,single,high.school,no,no,no,cellular,may,wed,391,1,999,0,nonexistent,-1.8,92.893,-46.2,1.281,5099.1,yes,391,5.96870755998537,999,6.90675477864855
15995,37,admin.,single,high.school,unknown,no,no,cellular,jul,tue,712,6,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,yes,712,6.56807791141198,999,6.90675477864855
39027,64,housemaid,married,basic.4y,no,no,no,cellular,dec,thu,422,1,6,2,success,-3,92.713,-33,0.714,5023.5,yes,422,6.04500531403601,6,1.79175946922805
36000,60,retired,married,university.degree,no,yes,no,cellular,may,tue,133,1,3,1,success,-1.8,92.893,-46.2,1.266,5099.1,yes,133,4.89034912822175,3,1.09861228866811
34861,29,blue-collar,divorced,basic.4y,no,no,no,cellular,may,fri,667,3,999,0,nonexistent,-1.8,92.893,-46.2,1.25,5099.1,yes,667,6.50279004591562,999,6.90675477864855
27788,38,technician,married,university.degree,no,yes,no,cellular,mar,tue,122,1,999,0,nonexistent,-1.8,92.843,-50,1.687,5099.1,yes,122,4.80402104473326,999,6.90675477864855
35069,34,blue-collar,married,basic.4y,unknown,yes,no,cellular,may,fri,285,5,999,0,nonexistent,-1.8,92.893,-46.2,1.25,5099.1,yes,285,5.65248918026865,999,6.90675477864855
16738,42,entrepreneur,married,university.degree,no,unknown,unknown,cellular,jul,thu,430,4,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,yes,430,6.06378520868761,999,6.90675477864855
40665,32,blue-collar,married,basic.4y,no,no,no,telephone,sep,wed,606,3,3,4,success,-1.1,94.199,-37.5,0.88,4963.6,yes,606,6.40687998606931,3,1.09861228866811
33667,29,self-employed,single,professional.course,no,yes,no,cellular,may,wed,774,2,999,1,failure,-1.8,92.893,-46.2,1.281,5099.1,yes,774,6.65157187358973,999,6.90675477864855
23511,29,technician,married,professional.course,no,yes,no,cellular,aug,thu,965,2,999,0,nonexistent,1.4,93.444,-36.1,4.962,5228.1,yes,965,6.87212810133899,999,6.90675477864855
34902,42,services,married,high.school,no,no,no,cellular,may,fri,551,1,999,1,failure,-1.8,92.893,-46.2,1.25,5099.1,yes,551,6.31173480915291,999,6.90675477864855
39206,29,admin.,single,unknown,no,yes,no,cellular,mar,mon,132,1,999,0,nonexistent,-1.8,93.369,-34.8,0.652,5008.7,yes,132,4.88280192258637,999,6.90675477864855
34203,51,blue-collar,married,basic.4y,no,yes,no,cellular,may,wed,440,2,999,0,nonexistent,-1.8,92.893,-46.2,1.281,5099.1,yes,440,6.08677472691231,999,6.90675477864855
37552,61,management,married,university.degree,no,yes,no,cellular,aug,fri,209,2,4,2,success,-2.9,92.201,-31.4,0.869,5076.2,yes,209,5.34233425196481,4,1.38629436111989
24081,27,self-employed,married,professional.course,no,no,no,telephone,nov,wed,669,1,999,0,nonexistent,-0.1,93.2,-42,4.663,5195.8,yes,669,6.50578406012823,999,6.90675477864855
32666,31,technician,single,university.degree,no,yes,no,cellular,may,mon,1514,1,999,1,failure,-1.8,92.893,-46.2,1.299,5099.1,yes,1514,7.32251043399739,999,6.90675477864855
28588,67,retired,married,professional.course,no,yes,no,cellular,apr,wed,140,1,999,0,nonexistent,-1.8,93.075,-47.1,1.415,5099.1,yes,140,4.9416424226093,999,6.90675477864855
15567,35,blue-collar,married,basic.9y,no,yes,no,cellular,jul,fri,1373,4,999,0,nonexistent,1.4,93.918,-42.7,4.957,5228.1,yes,1373,7.22475340576797,999,6.90675477864855
26311,53,technician,divorced,high.school,no,no,no,cellular,nov,thu,531,1,999,0,nonexistent,-0.1,93.2,-42,4.076,5195.8,yes,531,6.27476202124194,999,6.90675477864855
38931,56,retired,married,university.degree,no,no,no,cellular,nov,wed,232,1,3,1,success,-3.4,92.649,-30.1,0.716,5017.5,yes,232,5.44673737166631,3,1.09861228866811
3940,47,management,married,basic.4y,unknown,no,no,telephone,may,mon,882,1,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191,yes,882,6.78219205600679,999,6.90675477864855
30162,60,admin.,married,high.school,no,no,no,cellular,apr,thu,447,1,2,1,success,-1.8,93.075,-47.1,1.365,5099.1,yes,447,6.10255859461357,2,0.693147180559945
15129,39,housemaid,divorced,basic.9y,no,no,no,cellular,jul,thu,926,1,999,0,nonexistent,1.4,93.918,-42.7,4.958,5228.1,yes,926,6.83087423464618,999,6.90675477864855
30398,24,admin.,single,university.degree,no,yes,no,cellular,apr,thu,342,3,999,0,nonexistent,-1.8,93.075,-47.1,1.365,5099.1,yes,342,5.8348107370626,999,6.90675477864855
12192,40,blue-collar,married,basic.9y,no,no,yes,telephone,jul,tue,1135,2,999,0,nonexistent,1.4,93.918,-42.7,4.955,5228.1,yes,1135,7.0343879299155,999,6.90675477864855
35131,34,services,divorced,high.school,no,yes,yes,cellular,may,fri,562,2,999,0,nonexistent,-1.8,92.893,-46.2,1.25,5099.1,yes,562,6.33150184989369,999,6.90675477864855
16199,29,blue-collar,single,high.school,no,yes,no,cellular,jul,tue,966,2,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,yes,966,6.87316383421252,999,6.90675477864855
6739,54,retired,married,basic.4y,unknown,no,no,telephone,may,wed,1730,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,yes,1730,7.45587668749182,999,6.90675477864855
29796,24,admin.,single,professional.course,no,no,no,cellular,apr,mon,267,2,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,yes,267,5.58724865840025,999,6.90675477864855
40788,33,admin.,married,university.degree,no,yes,yes,telephone,sep,wed,396,2,999,0,nonexistent,-1.1,94.199,-37.5,0.879,4963.6,yes,396,5.98141421125448,999,6.90675477864855
40031,48,admin.,single,university.degree,no,yes,no,cellular,jul,fri,194,2,3,1,success,-1.7,94.215,-40.3,0.79,4991.6,yes,194,5.26785815906333,3,1.09861228866811
33130,32,management,single,professional.course,no,no,no,cellular,may,tue,365,2,999,0,nonexistent,-1.8,92.893,-46.2,1.291,5099.1,yes,365,5.89989735358249,999,6.90675477864855
11791,56,retired,married,high.school,unknown,yes,no,telephone,jun,fri,1094,3,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,yes,1094,6.99759598298193,999,6.90675477864855
36927,24,technician,single,professional.course,no,no,no,cellular,jun,tue,227,1,4,1,success,-2.9,92.963,-40.8,1.206,5076.2,yes,227,5.4249500174814,4,1.38629436111989
40403,41,entrepreneur,married,university.degree,no,yes,no,cellular,aug,thu,324,1,999,0,nonexistent,-1.7,94.027,-38.3,0.904,4991.6,yes,324,5.78074351579233,999,6.90675477864855
37161,46,admin.,married,high.school,no,no,no,telephone,aug,wed,231,2,999,0,nonexistent,-2.9,92.201,-31.4,0.884,5076.2,yes,231,5.44241771052179,999,6.90675477864855
40197,72,retired,married,basic.4y,no,yes,no,cellular,jul,mon,268,1,999,0,nonexistent,-1.7,94.215,-40.3,0.87,4991.6,yes,268,5.59098698051086,999,6.90675477864855
17285,59,retired,married,high.school,no,yes,no,cellular,jul,fri,1448,17,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,yes,1448,7.27793857294566,999,6.90675477864855
37278,38,admin.,single,high.school,no,yes,yes,cellular,aug,mon,167,1,999,0,nonexistent,-2.9,92.201,-31.4,0.884,5076.2,yes,167,5.11799381241676,999,6.90675477864855
3507,30,admin.,single,high.school,no,no,yes,telephone,may,thu,892,4,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191,yes,892,6.79346613258001,999,6.90675477864855
40664,28,management,single,university.degree,no,yes,no,cellular,sep,wed,358,3,6,1,success,-1.1,94.199,-37.5,0.88,4963.6,yes,358,5.8805329864007,6,1.79175946922805
37095,51,admin.,married,university.degree,no,yes,no,cellular,jul,fri,139,5,999,0,nonexistent,-2.9,92.469,-33.6,0.921,5076.2,yes,139,4.93447393313069,999,6.90675477864855
4210,33,technician,divorced,professional.course,no,no,no,telephone,may,mon,1218,3,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191,yes,1218,7.10496544826984,999,6.90675477864855
39224,34,admin.,single,university.degree,no,no,yes,cellular,mar,tue,236,1,999,0,nonexistent,-1.8,93.369,-34.8,0.652,5008.7,yes,236,5.46383180502561,999,6.90675477864855
20321,32,admin.,divorced,university.degree,no,yes,no,cellular,aug,mon,1080,3,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,yes,1080,6.98471632011827,999,6.90675477864855
28401,33,technician,single,university.degree,no,yes,no,cellular,apr,thu,530,1,999,0,nonexistent,-1.8,93.075,-47.1,1.435,5099.1,yes,530,6.27287700654617,999,6.90675477864855
14051,41,self-employed,divorced,professional.course,no,no,no,cellular,jul,fri,911,2,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,yes,911,6.81454289725996,999,6.90675477864855
39682,33,admin.,single,university.degree,no,yes,no,cellular,may,fri,396,5,999,0,nonexistent,-1.8,93.876,-40,0.684,5008.7,yes,396,5.98141421125448,999,6.90675477864855
36351,33,admin.,married,university.degree,no,yes,no,cellular,jun,tue,690,1,999,0,nonexistent,-2.9,92.963,-40.8,1.262,5076.2,yes,690,6.5366915975913,999,6.90675477864855
38445,61,management,married,university.degree,no,yes,no,cellular,oct,fri,336,2,999,1,failure,-3.4,92.431,-26.9,0.73,5017.5,yes,336,5.8171111599632,999,6.90675477864855
7289,30,technician,single,university.degree,unknown,yes,no,telephone,may,thu,1109,3,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191,yes,1109,7.01121398735037,999,6.90675477864855
8490,45,technician,married,university.degree,unknown,no,yes,telephone,jun,tue,1336,4,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,yes,1336,7.19743535409659,999,6.90675477864855
39540,28,admin.,single,unknown,no,yes,no,cellular,apr,wed,545,2,6,4,success,-1.8,93.749,-34.6,0.654,5008.7,yes,545,6.30078579466324,6,1.79175946922805
37589,31,entrepreneur,single,university.degree,no,yes,no,cellular,aug,fri,211,3,999,0,nonexistent,-2.9,92.201,-31.4,0.869,5076.2,yes,211,5.35185813347607,999,6.90675477864855
35555,31,admin.,single,high.school,unknown,yes,no,cellular,may,mon,309,1,999,0,nonexistent,-1.8,92.893,-46.2,1.244,5099.1,yes,309,5.73334127689775,999,6.90675477864855
37756,62,admin.,married,university.degree,no,yes,no,cellular,aug,fri,116,1,999,0,nonexistent,-2.9,92.201,-31.4,0.849,5076.2,yes,116,4.75359019110636,999,6.90675477864855
38688,56,technician,divorced,university.degree,no,no,no,cellular,nov,fri,178,2,3,1,success,-3.4,92.649,-30.1,0.716,5017.5,yes,178,5.18178355029209,3,1.09861228866811
39031,56,retired,married,basic.4y,no,no,no,cellular,dec,thu,582,4,999,0,nonexistent,-3,92.713,-33,0.714,5023.5,yes,582,6.36647044773144,999,6.90675477864855
38441,24,admin.,single,university.degree,no,yes,yes,telephone,oct,thu,97,1,999,0,nonexistent,-3.4,92.431,-26.9,0.733,5017.5,yes,97,4.57471097850338,999,6.90675477864855
39117,43,blue-collar,married,basic.9y,no,yes,no,cellular,dec,tue,689,2,999,0,nonexistent,-3,92.713,-33,0.707,5023.5,yes,689,6.53524127101366,999,6.90675477864855
30497,42,admin.,married,professional.course,no,no,yes,cellular,may,mon,300,1,999,0,nonexistent,-1.8,92.893,-46.2,1.354,5099.1,yes,300,5.7037824746562,999,6.90675477864855
36820,57,management,married,unknown,no,no,no,cellular,jun,mon,112,1,999,0,nonexistent,-2.9,92.963,-40.8,1.26,5076.2,yes,112,4.71849887129509,999,6.90675477864855
39488,80,retired,divorced,basic.4y,no,yes,no,telephone,apr,wed,403,1,999,0,nonexistent,-1.8,93.749,-34.6,0.642,5008.7,yes,403,5.99893656194668,999,6.90675477864855
39736,64,housemaid,married,unknown,no,yes,no,telephone,may,wed,671,3,999,0,nonexistent,-1.8,93.876,-40,0.697,5008.7,yes,671,6.50876913697168,999,6.90675477864855
28842,40,services,married,high.school,no,no,no,cellular,apr,thu,161,1,999,0,nonexistent,-1.8,93.075,-47.1,1.41,5099.1,yes,161,5.08140436498446,999,6.90675477864855
3220,39,blue-collar,married,basic.9y,no,no,no,telephone,may,thu,651,23,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191,yes,651,6.47850964220857,999,6.90675477864855
35409,31,technician,single,university.degree,no,yes,no,cellular,may,fri,1313,7,999,1,failure,-1.8,92.893,-46.2,1.25,5099.1,yes,1313,7.1800698743028,999,6.90675477864855
36679,51,technician,single,university.degree,no,yes,no,cellular,jun,fri,509,1,999,0,nonexistent,-2.9,92.963,-40.8,1.268,5076.2,yes,509,6.23244801655052,999,6.90675477864855
37955,72,retired,married,basic.4y,no,no,no,cellular,sep,fri,230,1,3,2,success,-3.4,92.379,-29.8,0.803,5017.5,yes,230,5.4380793089232,3,1.09861228866811
27591,30,admin.,single,university.degree,no,no,no,cellular,nov,fri,331,2,999,0,nonexistent,-0.1,93.2,-42,4.021,5195.8,yes,331,5.80211837537706,999,6.90675477864855
505,39,services,married,high.school,unknown,yes,no,telephone,may,tue,918,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,yes,918,6.82219739062049,999,6.90675477864855
35794,33,technician,married,professional.course,no,yes,no,cellular,may,mon,638,2,999,0,nonexistent,-1.8,92.893,-46.2,1.244,5099.1,yes,638,6.45833828334479,999,6.90675477864855
40071,58,admin.,married,high.school,no,yes,yes,cellular,jul,thu,414,2,999,0,nonexistent,-1.7,94.215,-40.3,0.81,4991.6,yes,414,6.02586597382531,999,6.90675477864855
9102,39,services,married,high.school,no,yes,no,telephone,jun,fri,554,1,999,0,nonexistent,1.4,94.465,-41.8,4.967,5228.1,yes,554,6.31716468674728,999,6.90675477864855
12905,27,admin.,single,professional.course,no,no,no,cellular,jul,tue,803,2,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,yes,803,6.68835471394676,999,6.90675477864855
37044,42,technician,married,university.degree,no,no,no,cellular,jul,wed,361,1,999,1,failure,-2.9,92.469,-33.6,1.029,5076.2,yes,361,5.88887795833288,999,6.90675477864855
40374,18,student,single,unknown,no,yes,no,cellular,aug,wed,253,2,6,1,success,-1.7,94.027,-38.3,0.9,4991.6,yes,253,5.53338948872752,6,1.79175946922805
